hate	noHate	I can give you her Skype and she will answer all your questions .
hate	hate	I know exactly what you 're saying , I just hate to see those worthless apes benefit from the great things that whites do .
hate	noHate	Norway : 3.3 ( 2001 ) , 3.9 ( 2002 ) , 3.5 ( 2003 ) , 1.8 ( 2004 ) . ( assuming population of 4.5 million ) Sweden : 2.6 ( 2001 ) , 3.7 ( 2002 ) , 3.5 ( 2003 ) , 2.6 ( 2004 ) . ( assuming population of 8.9 million ) Iceland is at about 0.2 .
noHate	noHate	I used to enter horse competitions until I was thrown off one and broke my leg .
hate	hate	And the sad thing is the white students at those schools will act like that too .
noHate	noHate	Now, young man !
noHate	noHate	During the early punk scene , he was always seen decked out in a Union flag blazer , then all a sudden , an instant nationality transplant .
noHate	hate	Lying Marxists !
hate	hate	Black and Asian immigrants who are coming in and those who were borne here and their breading patterns are the threat to our gene pool and not other white Europeans such as polish people .
hate	noHate	i used to post on here a few years back as kruger but for some reason i cant register with that name so here goes with the new one 88 to all i know and to those i will meet
noHate	noHate	Find other gardeners , wild plant enthusiasts , and fellow believers in your area who you can band with .
hate	noHate	You do not have to wait for this law to pass since already you would be expelled from your school for doing the above under some sort of hostile school environment clause , as you would at most places of work .
noHate	noHate	That's all I needed to hear .
noHate	noHate	Latha math dhuibh agus dè tha dol agad fhèin , a Phàdruig/Hello Pat , how are you ?
hate	hate	Let mother nature evolve these people naturally because no amount of money or aid is going to drag these ' things ' into the civilized world where they serve absolutely no purpose .
hate	hate	WE GOT MONEY AROUND HERE TOO Compton Crips Pt.1 - YouTube These negroes are in the middle of the street , seems like something of a zoo , playing with their cheap lowriders .
hate	hate	May they just need to turn these savages loose , justice will take care of itself .
hate	hate	Gay marriage has no place in any society , regardless of your race and culture.It destroys , morals , values , and the future of your offspring that will keep your race and culture alive.Regardless of your race and culture , homosexuality and gay marriage is the genocide of mankind .
hate	hate	the kind of perversion that leads to homosexuality also leads to pedophilia. why take the risk , and even if the homosexuals turned out not to be pedophiles why would anyone want a child to live with two perverts .
hate	hate	Perhaps I should walk back into my H.S. when it starts Monday and get on the P.A. system and say I want to tie all * * * * * * s to the back of my car and drag them across the ground till they die , and then say I 'm joking .
noHate	noHate	I've followed Mr. Kievsky 's adventures through VNN for the last couple years .
hate	noHate	More likely they 're afraid of having to marry and deal with a snotty GI-Jane-dyke , only to be dragged into court and have the kids and house taken a few years later .
noHate	hate	http://www.abc25.com/Global/story.asp ? S = 5352185 Non whites commit far more crimes against whites each year but its never considered a hate crime and alot of them never spend any time in jail !
hate	hate	When the non-whites come we should stand together and send em packing , like they do to us .
noHate	noHate	Saul Kassin : `` False confessions '' https : //www.youtube.com/watch ? v = JDRRwFfJKkw The Vera Institute of Justice 's Neil A. Weiner Research Department Speaker Series presents Saul Kassin , Distinguished Professor of Psychology at John Jay College of Criminal Justice .
hate	hate	All we have is blacks and a few mestizos and all are pretty well behaved , we keep them that way around here
hate	noHate	And all those holes below 40,000 feet are filled with oil instead of water .
noHate	noHate	The idea that homeschooled kids do n't get socialized is ludicrous .
noHate	noHate	I caught this on youtube , I 'm sure someone has posted this at some point on here but it deserves reiteration .
hate	hate	Actually Monkeys and Apes are more noble creatures and rarely act violent it really is unfare to the Monkeys and Apes to be compared with subhuman Negroids who are by contrast very murderous .
noHate	noHate	The Neolithic farmers who migrated into Europe originated in Anatolia .
noHate	noHate	I've been following the events in Ukraine and have noticed some troops using the SKS .
hate	hate	I going to get homeschooled tired of looney lefty teachers and the negroes
hate	hate	oddly i would find it worst if she here black , since Negroes are the most inferior and scum bag humanoid race in our planet .
hate	hate	When they sent n iggers to space the space ships started blowing up .
noHate	noHate	Invictus Press Home Page
hate	noHate	The students should be able to express themselves .
noHate	noHate	KC skin boy looking for KC skin girl .
noHate	noHate	It 's a nationalist site as well , maybe give them a try !
hate	noHate	The brutality of his crime and his lack of remorse made Jackson the `` model candidate for death in the gas house , '' one columnist wrote after his death sentence was upheld by the state 's highest court .
hate	hate	that prince who married that asian is a freak. imagine his half and half kids growing up and trying to marry into other royal families
hate	hate	There's no way to stop them from coming to Canada all that is needed is proof of ownership of a house in India , africa etc and they can enter in on a tourist visa .
noHate	noHate	Dare to speak out in a country with supposed free speech and you 're labelled a bigot !
noHate	noHate	I cannot imagine how revolting it must be - the PC dialogue at your university -- idolizing athletes who dont belong in college -- white women getting pregnant with freaks
noHate	noHate	88 all , this is my first post and i 've read this whole thread so i guess I have a few comment 's , let 's start , shall we ?
noHate	hate	You got that right in one go.Lets hope he gets well soon and on his way home If you do n't have these apes in your great Country then count your blessings
noHate	noHate	I read a few things about him awhile back and he is far to the left as so many of them are .
noHate	noHate	Excellent Article !! * * * * * Why Were n't They In Jail ?
noHate	noHate	Do ` F * ck with our families , buckwheat !!
hate	hate	White town saved by the magic negroes of Afreakkaland .
noHate	noHate	Maybe you should look there or just move here to miss. Or more specifically Tupelo .
noHate	noHate	Little kids all decked out in their costumes .
noHate	hate	Someone Please Tell me what can be done or which people to tell that the Mexicans and or other hispanics here are undercutting price quotes on Good working People .
hate	hate	God 's own divine intervention , aided by Jewish money swindled from the goyim .
noHate	noHate	I do n't know about you but I rather fight a 2m swedish male than a 1.70m asian kung fu expert .
noHate	hate	YouTube - Brussels on 9/11 : For a free Europe , against Islamization
hate	hate	What makes it suck are the Jews that run it and the Blacks that play in it .
noHate	noHate	I thought there was talk not too long ago about Putin extending the terms to stay in office ?
noHate	hate	Apparently the Jews ca n't take it when the truth is spoken about them .
noHate	noHate	You could try looking at the National socialist and Fascist Resource Centre at http://www.ufc.co.uk They cover a whole range of educational material .
hate	hate	Seeing the teams of white nations have black players in their ranks is a depressing site to see.They should be representing the best of our nations not the worst
noHate	noHate	I' v checked them out but could n't find much but apparently they have presence in Britain .
hate	hate	We do not want `` assimilation '' .
noHate	noHate	Nothing happened except I got an 88 % on the paper .
noHate	noHate	I enjoyed playing the game when I was a kid , but I never enjoyed watching it on TV .
hate	hate	We all know that when their are too many ethnics , the neighbourhood soon turn 's into a slum .
hate	hate	Nevermind, found the new page Knew it had to be a groid .... any report of rape ?
hate	hate	No need to allow FACTS to get in the way of a good White guilt message ! ... and the jew laughs loudly !
noHate	noHate	hi read your post and my name is james from australia , and would like to well write to such a pleasent person as yourself have a nice day !
noHate	noHate	I live in AR .
hate	hate	I went outside and the niglet 's mom told me my daughter had hit her first .
noHate	hate	Maybe spread some HATE and intolerance ?
